ID_Pagamento;ID_Aluno;ID_Plano;Data_Pagamento;Forma_Pagamento;Desconto;Status
1;519;1;2019-01-25;Dinheiro;0.0;Pago
2;589;2;2019-01-25;Dinheiro;0.0;Pago
3;234;4;2019-01-27;Boleto;0.1;Pago
4;289;2;2019-01-27;Dinheiro;0.0;Pago
5;265;1;2019-01-28;Boleto;0.1;Pago
6;518;1;2019-01-28;Cartão;0.0;Pago
7;998;4;2019-01-29;Cartão;0.0;Pago
8;428;3;2019-01-30;Boleto;0.1;Pago
9;873;3;2019-01-30;Dinheiro;0.0;Pago
10;482;3;2019-01-31;Cartão;0.0;Pago
11;223;4;2019-02-25;Cartão;0.0;Pago
12;570;4;2019-02-25;Cartão;0.0;Pago
13;899;2;2019-02-25;Dinheiro;0.0;Pago
14;633;4;2019-02-26;Boleto;0.1;Pago
15;518;1;2019-02-27;Boleto;0.1;Pago
16;560;2;2019-02-27;Boleto;0.1;Pago
17;804;2;2019-02-27;Cartão;0.0;Pago
18;834;4;2019-02-27;Boleto;0.1;Pago
19;83;3;2019-02-28;Boleto;0.1;Pago
20;101;1;2019-02-28;Cartão;0.0;Pago
21;265;1;2019-02-28;Cartão;0.0;Pago
22;519;1;2019-02-28;Dinheiro;0.0;Pago
23;551;2;2019-02-28;Boleto;0.1;Pago
24;971;4;2019-02-28;Dinheiro;0.0;Pago
25;220;4;2019-03-25;Cartão;0.0;Pago
26;265;1;2019-03-25;Boleto;0.1;Pago
27;519;1;2019-03-26;Dinheiro;0.0;Pago
28;717;1;2019-03-26;Boleto;0.1;Pago
29;101;1;2019-03-27;Cartão;0.0;Pago
30;147;2;2019-03-27;Boleto;0.1;Pago
31;446;3;2019-03-28;Cartão;0.0;Pago
32;701;1;2019-03-28;Boleto;0.1;Pago
33;917;1;2019-03-28;Dinheiro;0.0;Em atraso
34;17;3;2019-03-29;Dinheiro;0.0;Pago
35;210;3;2019-03-29;Dinheiro;0.0;Pago
36;518;1;2019-03-29;Cartão;0.0;Pago
37;125;4;2019-03-30;Dinheiro;0.0;Pago
38;224;2;2019-03-30;Dinheiro;0.0;Pago
39;849;4;2019-03-31;Cartão;0.0;Pago
40;242;1;2019-04-25;Dinheiro;0.0;Pago
41;518;1;2019-04-25;Boleto;0.1;Em atraso
42;519;1;2019-04-25;Dinheiro;0.0;Pago
43;768;2;2019-04-25;Cartão;0.0;Pago
44;774;2;2019-04-25;Boleto;0.1;Pago
45;109;1;2019-04-27;Cartão;0.0;Pago
46;683;4;2019-04-27;Dinheiro;0.0;Pago
47;53;2;2019-04-28;Cartão;0.0;Pago
48;165;1;2019-04-28;Cartão;0.0;Pago
49;247;1;2019-04-28;Cartão;0.0;Pago
50;265;1;2019-04-28;Dinheiro;0.0;Pago
51;289;2;2019-04-28;Boleto;0.1;Pago
52;589;2;2019-04-29;Dinheiro;0.0;Pago
53;620;1;2019-04-29;Dinheiro;0.0;Pago
54;717;1;2019-04-29;Cartão;0.0;Pago
55;917;1;2019-04-29;Cartão;0.0;Pago
56;101;1;2019-04-30;Boleto;0.1;Pago
57;701;1;2019-04-30;Dinheiro;0.0;Pago
58;101;1;2019-05-25;Cartão;0.0;Pago
59;242;1;2019-05-25;Cartão;0.0;Pago
60;247;1;2019-05-25;Cartão;0.0;Pago
61;899;2;2019-05-26;Dinheiro;0.0;Pago
62;8;4;2019-05-27;Boleto;0.1;Pago
63;165;1;2019-05-27;Dinheiro;0.0;Pago
64;297;1;2019-05-27;Dinheiro;0.0;Pago
65;560;2;2019-05-27;Dinheiro;0.0;Pago
66;721;2;2019-05-27;Dinheiro;0.0;Pago
67;265;1;2019-05-28;Cartão;0.0;Pago
68;427;4;2019-05-28;Cartão;0.0;Pago
69;518;1;2019-05-28;Dinheiro;0.0;Pago
70;519;1;2019-05-28;Dinheiro;0.0;Pago
71;988;3;2019-05-28;Dinheiro;0.0;Em atraso
72;109;1;2019-05-29;Boleto;0.1;Pago
73;717;1;2019-05-29;Dinheiro;0.0;Pago
74;740;3;2019-05-29;Boleto;0.1;Pago
75;981;3;2019-05-29;Dinheiro;0.0;Pago
76;701;1;2019-05-30;Boleto;0.1;Em atraso
77;917;1;2019-05-30;Boleto;0.1;Pago
78;301;2;2019-05-31;Dinheiro;0.0;Pago
79;551;2;2019-05-31;Dinheiro;0.0;Pago
80;561;2;2019-05-31;Boleto;0.1;Pago
81;620;1;2019-05-31;Cartão;0.0;Pago
82;804;2;2019-05-31;Cartão;0.0;Pago
83;983;2;2019-05-31;Cartão;0.0;Pago
84;101;1;2019-06-25;Boleto;0.1;Pago
85;518;1;2019-06-25;Boleto;0.1;Pago
86;717;1;2019-06-25;Dinheiro;0.0;Pago
87;818;4;2019-06-25;Dinheiro;0.0;Pago
88;242;1;2019-06-26;Boleto;0.1;Pago
89;644;2;2019-06-26;Dinheiro;0.0;Pago
90;826;2;2019-06-26;Dinheiro;0.0;Pago
91;224;2;2019-06-27;Dinheiro;0.0;Pago
92;265;1;2019-06-27;Dinheiro;0.0;Pago
93;297;1;2019-06-27;Cartão;0.0;Pago
94;482;3;2019-06-27;Boleto;0.1;Pago
95;580;4;2019-06-27;Boleto;0.1;Pago
96;699;3;2019-06-27;Dinheiro;0.0;Pago
97;917;1;2019-06-27;Cartão;0.0;Pago
98;147;2;2019-06-28;Boleto;0.1;Pago
99;228;1;2019-06-28;Dinheiro;0.0;Pago
100;417;2;2019-06-28;Cartão;0.0;Pago
101;437;1;2019-06-28;Boleto;0.1;Pago
102;873;3;2019-06-28;Boleto;0.1;Pago
103;165;1;2019-06-29;Dinheiro;0.0;Pago
104;620;1;2019-06-29;Cartão;0.0;Pago
105;922;4;2019-06-29;Cartão;0.0;Pago
106;994;1;2019-06-29;Cartão;0.0;Pago
107;109;1;2019-06-30;Boleto;0.1;Pago
108;247;1;2019-06-30;Dinheiro;0.0;Pago
109;519;1;2019-06-30;Dinheiro;0.0;Pago
110;701;1;2019-06-30;Boleto;0.1;Em atraso
111;39;3;2019-07-25;Cartão;0.0;Pago
112;53;2;2019-07-25;Cartão;0.0;Pago
